client_id,client_name,industry,region,account_manager,contract_start_date
CL001,Nova Pharma,Healthcare,North America,A.Sharma,2023-10-10
CL002,Global Retailers,Retail,North America,R.Iyer,2025-01-23
CL003,Meridian Foods,Food & Beverage,Europe,P.Nair,2025-08-18
CL004,BlueSky Logistics,Logistics,APAC,K.Rao,2025-05-08
CL005,Falcon Manufacturing,Manufacturing,North America,S.Verma,2024-05-02
CL006,Orion Healthcare,Healthcare,APAC,M.Gupta,2024-10-03
CL007,Summit Financial,Financial Services,North America,T.Singh,2023-01-15
CL008,Cedar Insurance,Insurance,Europe,N.Reddy,2025-03-08
CL009,Vertex Media,Media,North America,A.Sharma,2024-11-13
CL010,Amber Energy,Energy,Europe,R.Iyer,2025-08-09
CL011,Redwood Auto,Healthcare,North America,P.Nair,2025-09-03
CL012,Pioneer Telecom,Retail,North America,K.Rao,2025-12-23
CL013,Harbor Bank,Food & Beverage,Europe,S.Verma,2024-12-11
CL014,Crestline Retail,Logistics,APAC,M.Gupta,2025-07-24
CL015,Lumen Tech,Manufacturing,North America,T.Singh,2024-11-06
CL016,Aster Consumer,Healthcare,APAC,N.Reddy,2024-08-03
CL017,Ridgeway Utilities,Financial Services,North America,A.Sharma,2023-04-13
CL018,Northgate Foods,Insurance,Europe,R.Iyer,2023-06-11
CL019,Silverline Health,Media,North America,P.Nair,2025-11-25
CL020,Trident Logistics,Energy,Europe,K.Rao,2023-06-02
CL021,Windmill Energy,Healthcare,North America,S.Verma,2023-08-16
CL022,Copperfield Retail,Retail,North America,M.Gupta,2024-09-12
CL023,Brightwave Media,Food & Beverage,Europe,T.Singh,2024-08-09
CL024,Ironclad Manufacturing,Logistics,APAC,N.Reddy,2025-10-09
CL025,Sunrise Financial,Manufacturing,North America,A.Sharma,2023-10-13
CL026,Palisade Insurance,Healthcare,APAC,R.Iyer,2025-08-05
CL027,Beacon Pharma,Financial Services,North America,P.Nair,2023-08-24
CL028,Anchor Telecom,Insurance,Europe,K.Rao,2023-08-12
CL029,Fieldstone Auto,Media,North America,S.Verma,2025-03-17
CL030,Granite Bank,Energy,Europe,M.Gupta,2023-05-07
CL031,Marlin Consumer,Healthcare,North America,T.Singh,2023-02-18
CL032,Cobalt Utilities,Retail,North America,N.Reddy,2024-06-20
CL033,Juniper Healthcare,Food & Beverage,Europe,A.Sharma,2023-03-15
CL034,Delta Foods,Logistics,APAC,R.Iyer,2023-10-09
CL035,Cascade Logistics,Manufacturing,North America,P.Nair,2024-05-16
CL036,Element Energy,Healthcare,APAC,K.Rao,2023-10-18
CL037,Quartz Retail,Financial Services,North America,S.Verma,2024-03-10
CL038,Timberline Media,Insurance,Europe,M.Gupta,2025-12-27
CL039,Vantage Manufacturing,Media,North America,T.Singh,2024-12-13
CL040,Zenith Financial,Energy,Europe,N.Reddy,2025-09-03
